Starting Nmap 7.95 ( https://nmap.org ) at 2025-02-26 10:23 EST
Initiating Parallel DNS resolution of 80 hosts. at 10:24
Completed Parallel DNS resolution of 80 hosts. at 10:24, 1.20s elapsed
Initiating SYN Stealth Scan at 10:24
Discovered open port 5060/tcp on 44.239.130.219
Discovered open port 5060/tcp on 166.73.5.57
Completed SYN Stealth Scan against 166.73.4.194 in 618.15s (59 hosts left)
Discovered open port 5060/tcp on 34.117.18.56
SYN Stealth Scan Timing: About 62.83% done; ETC: 10:40 (0:06:13 remaining)
Completed SYN Stealth Scan against 166.73.5.37 in 640.74s (58 hosts left)
Completed SYN Stealth Scan against 104.16.242.118 in 647.78s (57 hosts left)
Discovered open port 5060/tcp on 166.73.5.53
Completed SYN Stealth Scan against 54.158.149.68 in 653.26s (56 hosts left)
SYN Stealth Scan Timing: About 67.50% done; ETC: 10:40 (0:05:20 remaining)
Discovered open port 5060/tcp on 34.98.98.114
Completed SYN Stealth Scan against 166.73.5.41 in 669.68s (55 hosts left)
Completed SYN Stealth Scan against 100.20.32.41 in 670.12s (54 hosts left)
Warning: 66.22.56.145 giving up on port because retransmission cap hit (10).
Completed SYN Stealth Scan against 142.251.41.51 in 679.32s (53 hosts left)
Completed SYN Stealth Scan against 34.116.0.40 in 686.02s (52 hosts left)
Completed SYN Stealth Scan against 166.73.4.195 in 686.39s (51 hosts left)
Completed SYN Stealth Scan against 107.162.232.80 in 693.51s (50 hosts left)
SYN Stealth Scan Timing: About 72.32% done; ETC: 10:40 (0:04:28 remaining)
Completed SYN Stealth Scan against 166.73.4.196 in 700.38s (49 hosts left)
Completed SYN Stealth Scan against 166.73.4.197 in 711.21s (48 hosts left)
Completed SYN Stealth Scan against 107.162.180.200 in 727.65s (47 hosts left)
SYN Stealth Scan Timing: About 77.08% done; ETC: 10:39 (0:03:38 remaining)
Completed SYN Stealth Scan against 13.56.104.203 in 736.19s (46 hosts left)
Completed SYN Stealth Scan against 166.73.5.53 in 738.36s (45 hosts left)
Completed SYN Stealth Scan against 104.17.73.206 in 738.99s (44 hosts left)
Completed SYN Stealth Scan against 107.162.183.211 in 742.11s (43 hosts left)
Completed SYN Stealth Scan against 107.162.183.213 in 742.75s (42 hosts left)
Completed SYN Stealth Scan against 35.162.157.209 in 743.99s (41 hosts left)
Completed SYN Stealth Scan against 34.208.110.218 in 748.90s (40 hosts left)
Completed SYN Stealth Scan against 34.117.211.53 in 749.24s (39 hosts left)
Completed SYN Stealth Scan against 34.98.98.114 in 751.32s (38 hosts left)
Completed SYN Stealth Scan against 34.98.98.115 in 753.66s (37 hosts left)
Completed SYN Stealth Scan against 35.201.74.249 in 757.29s (36 hosts left)
Completed SYN Stealth Scan against 44.239.130.219 in 757.50s (35 hosts left)
Completed SYN Stealth Scan against 23.185.0.4 in 757.86s (34 hosts left)
Completed SYN Stealth Scan against 3.233.108.250 in 758.37s (33 hosts left)
Completed SYN Stealth Scan against 52.20.49.116 in 763.49s (32 hosts left)
Completed SYN Stealth Scan against 151.101.3.10 in 764.46s (31 hosts left)
Completed SYN Stealth Scan against 23.222.17.238 in 764.90s (30 hosts left)
Completed SYN Stealth Scan against 107.162.232.63 in 765.10s (29 hosts left)
Completed SYN Stealth Scan against 35.241.51.22 in 765.97s (28 hosts left)
Completed SYN Stealth Scan against 151.101.131.10 in 766.18s (27 hosts left)
Completed SYN Stealth Scan against 166.73.5.57 in 766.63s (26 hosts left)
Completed SYN Stealth Scan against 54.201.176.250 in 766.72s (25 hosts left)
Completed SYN Stealth Scan against 34.117.18.56 in 766.73s (24 hosts left)
Completed SYN Stealth Scan against 34.36.255.254 in 768.14s (23 hosts left)
Completed SYN Stealth Scan against 107.162.232.60 in 768.53s (22 hosts left)
Completed SYN Stealth Scan against 107.162.232.26 in 768.71s (21 hosts left)
Completed SYN Stealth Scan against 151.101.127.10 in 769.04s (20 hosts left)
Completed SYN Stealth Scan against 34.195.212.27 in 770.86s (19 hosts left)
Completed SYN Stealth Scan against 35.167.212.29 in 772.07s (18 hosts left)
Completed SYN Stealth Scan against 107.162.232.29 in 772.70s (17 hosts left)
Completed SYN Stealth Scan against 199.60.103.31 in 773.13s (16 hosts left)
Completed SYN Stealth Scan against 34.116.0.32 in 773.35s (15 hosts left)
SYN Stealth Scan Timing: About 82.02% done; ETC: 10:39 (0:02:50 remaining)
SYN Stealth Scan Timing: About 86.02% done; ETC: 10:42 (0:02:34 remaining)
SYN Stealth Scan Timing: About 89.67% done; ETC: 10:44 (0:02:07 remaining)
Discovered open port 5060/tcp on 167.86.43.39
Discovered open port 5060/tcp on 167.86.43.43
Discovered open port 5060/tcp on 167.86.43.40
Discovered open port 5060/tcp on 167.86.43.42
Discovered open port 5060/tcp on 66.22.56.35
Discovered open port 5060/tcp on 66.22.80.117
Discovered open port 5060/tcp on 167.86.43.69
Discovered open port 5060/tcp on 66.6.17.188
Discovered open port 5060/tcp on 167.86.43.68
Discovered open port 5060/tcp on 66.22.80.121
Discovered open port 5060/tcp on 66.22.30.155
Discovered open port 5060/tcp on 66.22.56.145
Discovered open port 5060/tcp on 167.86.43.71
Discovered open port 5060/tcp on 66.6.29.162
Discovered open port 5060/tcp on 66.22.85.187
SYN Stealth Scan Timing: About 92.50% done; ETC: 10:46 (0:01:40 remaining)
Warning: 66.22.85.187 giving up on port because retransmission cap hit (10).
SYN Stealth Scan Timing: About 94.82% done; ETC: 10:47 (0:01:13 remaining)
SYN Stealth Scan Timing: About 96.57% done; ETC: 10:48 (0:00:50 remaining)
SYN Stealth Scan Timing: About 97.76% done; ETC: 10:48 (0:00:33 remaining)
Completed SYN Stealth Scan against 167.86.43.39 in 1578.93s (14 hosts left)
Completed SYN Stealth Scan against 167.86.43.40 in 1581.93s (13 hosts left)
Completed SYN Stealth Scan against 167.86.43.43 in 1583.93s (12 hosts left)
Completed SYN Stealth Scan against 167.86.43.42 in 1584.25s (11 hosts left)
Completed SYN Stealth Scan against 66.22.56.35 in 1586.36s (10 hosts left)
Completed SYN Stealth Scan against 167.86.43.69 in 1594.82s (9 hosts left)
Completed SYN Stealth Scan against 66.22.80.117 in 1596.07s (8 hosts left)
Completed SYN Stealth Scan against 167.86.43.68 in 1596.36s (7 hosts left)
Completed SYN Stealth Scan against 66.6.17.188 in 1596.98s (6 hosts left)
Completed SYN Stealth Scan against 66.22.80.121 in 1601.11s (5 hosts left)
Completed SYN Stealth Scan against 66.22.30.155 in 1601.11s (4 hosts left)
Completed SYN Stealth Scan against 66.22.56.145 in 1605.82s (3 hosts left)
Completed SYN Stealth Scan against 66.6.29.162 in 1606.10s (2 hosts left)
Completed SYN Stealth Scan against 167.86.43.71 in 1610.10s (1 host left)
Completed SYN Stealth Scan at 10:50, 1612.83s elapsed (64000 total ports)
Nmap scan report for careers.clover.com (23.222.17.238)
Host is up, received user-set (0.10s latency).
Other addresses for careers.clover.com (not scanned): 23.222.17.237
rDNS record for 23.222.17.238: a23-222-17-238.deploy.static.akamaitechnologies.com
Scanned at 2025-02-26 10:24:07 EST for 763s
Not shown: 994 filtered tcp ports (no-response), 1 filtered tcp ports (port-unreach)
PORT     STATE SERVICE    REASON
53/tcp   open  domain     syn-ack ttl 64
80/tcp   open  http       syn-ack ttl 64
443/tcp  open  https      syn-ack ttl 64
5060/tcp open  sip        syn-ack ttl 64
8080/tcp open  http-proxy syn-ack ttl 64

Nmap scan report for checkout.clover.com (35.241.51.22)
Host is up, received user-set (0.10s latency).
rDNS record for 35.241.51.22: 22.51.241.35.bc.googleusercontent.com
Scanned at 2025-02-26 10:24:06 EST for 765s
Not shown: 995 filtered tcp ports (no-response)
PORT     STATE SERVICE    REASON
53/tcp   open  domain     syn-ack ttl 64
80/tcp   open  http       syn-ack ttl 64
443/tcp  open  https      syn-ack ttl 64
5060/tcp open  sip        syn-ack ttl 64
8080/tcp open  http-proxy syn-ack ttl 64

Nmap scan report for clover.com (166.73.4.193)
Host is up, received user-set (0.10s latency).
Scanned at 2025-02-26 10:24:07 EST for 533s
Not shown: 994 filtered tcp ports (no-response)
PORT     STATE SERVICE    REASON
53/tcp   open  domain     syn-ack ttl 64
80/tcp   open  http       syn-ack ttl 64
443/tcp  open  https      syn-ack ttl 64
912/tcp  open  apex-mesh  syn-ack ttl 122
5060/tcp open  sip        syn-ack ttl 64
8080/tcp open  http-proxy syn-ack ttl 64

Nmap scan report for cld-stage-merchantservices.clover.com (151.101.127.10)
Host is up, received user-set (0.10s latency).
Scanned at 2025-02-26 10:24:06 EST for 769s
Not shown: 995 filtered tcp ports (no-response)
PORT     STATE SERVICE    REASON
53/tcp   open  domain     syn-ack ttl 64
80/tcp   open  http       syn-ack ttl 64
443/tcp  open  https      syn-ack ttl 64
5060/tcp open  sip        syn-ack ttl 64
8080/tcp open  http-proxy syn-ack ttl 64

Nmap scan report for api.clover.com (166.73.4.194)
Host is up, received user-set (0.10s latency).
Scanned at 2025-02-26 10:24:07 EST for 617s
Not shown: 995 filtered tcp ports (no-response)
PORT     STATE SERVICE    REASON
53/tcp   open  domain     syn-ack ttl 64
80/tcp   open  http       syn-ack ttl 64
443/tcp  open  https      syn-ack ttl 64
5060/tcp open  sip        syn-ack ttl 64
8080/tcp open  http-proxy syn-ack ttl 64

Nmap scan report for api.staging.clover.com (34.98.98.114)
Host is up, received user-set (0.10s latency).
rDNS record for 34.98.98.114: 114.98.98.34.bc.googleusercontent.com
Scanned at 2025-02-26 10:24:07 EST for 750s
Not shown: 994 filtered tcp ports (no-response), 1 filtered tcp ports (port-unreach)
PORT     STATE SERVICE    REASON
53/tcp   open  domain     syn-ack ttl 64
80/tcp   open  http       syn-ack ttl 64
443/tcp  open  https      syn-ack ttl 64
5060/tcp open  sip        syn-ack ttl 64
8080/tcp open  http-proxy syn-ack ttl 64

Nmap scan report for c.clover.com (166.73.4.195)
Host is up, received user-set (0.10s latency).
Scanned at 2025-02-26 10:24:07 EST for 685s
Not shown: 995 filtered tcp ports (no-response)
PORT     STATE SERVICE    REASON
53/tcp   open  domain     syn-ack ttl 64
80/tcp   open  http       syn-ack ttl 64
443/tcp  open  https      syn-ack ttl 64
5060/tcp open  sip        syn-ack ttl 64
8080/tcp open  http-proxy syn-ack ttl 64

Nmap scan report for api-invoca.prod.catalyst.clover.com (35.162.157.209)
Host is up, received user-set (0.10s latency).
Other addresses for api-invoca.prod.catalyst.clover.com (not scanned): 34.209.202.60 44.238.35.154
rDNS record for 35.162.157.209: ec2-35-162-157-209.us-west-2.compute.amazonaws.com
Scanned at 2025-02-26 10:24:07 EST for 742s
Not shown: 995 filtered tcp ports (no-response)
PORT     STATE SERVICE    REASON
53/tcp   open  domain     syn-ack ttl 64
80/tcp   open  http       syn-ack ttl 64
443/tcp  open  https      syn-ack ttl 64
5060/tcp open  sip        syn-ack ttl 64
8080/tcp open  http-proxy syn-ack ttl 64

Nmap scan report for cld-stage-partners.clover.com (66.22.56.145)
Host is up, received user-set (0.12s latency).
Scanned at 2025-02-26 10:24:07 EST for 1604s
Not shown: 982 closed tcp ports (reset)
PORT      STATE    SERVICE    REASON
20/tcp    filtered ftp-data   no-response
21/tcp    filtered ftp        no-response
22/tcp    filtered ssh        no-response
25/tcp    filtered smtp       port-unreach from 10.5.0.1 ttl 64
53/tcp    open     domain     syn-ack ttl 64
80/tcp    open     http       syn-ack ttl 64
161/tcp   filtered snmp       no-response
179/tcp   filtered bgp        no-response
443/tcp   open     https      syn-ack ttl 64
1007/tcp  filtered unknown    no-response
1010/tcp  filtered surf       no-response
5060/tcp  open     sip        syn-ack ttl 64
8080/tcp  open     http-proxy syn-ack ttl 64
8088/tcp  filtered radan-http no-response
8652/tcp  filtered unknown    no-response
8873/tcp  filtered dxspider   no-response
20000/tcp filtered dnp        no-response
49160/tcp filtered unknown    no-response

Nmap scan report for ar.clover.com (151.101.3.10)
Host is up, received user-set (0.10s latency).
Other addresses for ar.clover.com (not scanned): 151.101.67.10 151.101.131.10 151.101.195.10
Scanned at 2025-02-26 10:24:06 EST for 764s
Not shown: 995 filtered tcp ports (no-response)
PORT     STATE SERVICE    REASON
53/tcp   open  domain     syn-ack ttl 64
80/tcp   open  http       syn-ack ttl 64
443/tcp  open  https      syn-ack ttl 64
5060/tcp open  sip        syn-ack ttl 64
8080/tcp open  http-proxy syn-ack ttl 64

Nmap scan report for api.la.clover.com (166.73.5.37)
Host is up, received user-set (0.10s latency).
Scanned at 2025-02-26 10:24:07 EST for 639s
Not shown: 995 filtered tcp ports (no-response)
PORT     STATE SERVICE    REASON
53/tcp   open  domain     syn-ack ttl 64
80/tcp   open  http       syn-ack ttl 64
443/tcp  open  https      syn-ack ttl 64
5060/tcp open  sip        syn-ack ttl 64
8080/tcp open  http-proxy syn-ack ttl 64

Nmap scan report for api.eu.clover.com (166.73.5.53)
Host is up, received user-set (0.10s latency).
Scanned at 2025-02-26 10:24:07 EST for 737s
Not shown: 995 filtered tcp ports (no-response)
PORT     STATE SERVICE    REASON
53/tcp   open  domain     syn-ack ttl 64
80/tcp   open  http       syn-ack ttl 64
443/tcp  open  https      syn-ack ttl 64
5060/tcp open  sip        syn-ack ttl 64
8080/tcp open  http-proxy syn-ack ttl 64

Nmap scan report for catalyst-acct-evt-proc.prod.catalyst.clover.com (54.201.176.250)
Host is up, received user-set (0.10s latency).
rDNS record for 54.201.176.250: ec2-54-201-176-250.us-west-2.compute.amazonaws.com
Scanned at 2025-02-26 10:24:07 EST for 765s
Not shown: 994 filtered tcp ports (no-response), 1 filtered tcp ports (port-unreach)
PORT     STATE SERVICE    REASON
53/tcp   open  domain     syn-ack ttl 64
80/tcp   open  http       syn-ack ttl 64
443/tcp  open  https      syn-ack ttl 64
5060/tcp open  sip        syn-ack ttl 64
8080/tcp open  http-proxy syn-ack ttl 64

Nmap scan report for cld-stage-uk.clover.com (66.22.56.35)
Host is up, received user-set (0.12s latency).
Scanned at 2025-02-26 10:24:07 EST for 1585s
Not shown: 989 closed tcp ports (reset)
PORT     STATE    SERVICE    REASON
20/tcp   filtered ftp-data   no-response
21/tcp   filtered ftp        no-response
22/tcp   filtered ssh        no-response
25/tcp   filtered smtp       port-unreach from 10.5.0.1 ttl 64
53/tcp   open     domain     syn-ack ttl 64
80/tcp   open     http       syn-ack ttl 64
161/tcp  filtered snmp       no-response
179/tcp  filtered bgp        no-response
443/tcp  open     https      syn-ack ttl 64
5060/tcp open     sip        syn-ack ttl 64
8080/tcp open     http-proxy syn-ack ttl 64

Nmap scan report for catalyst.clover.com (107.162.183.213)
Host is up, received user-set (0.10s latency).
Scanned at 2025-02-26 10:24:07 EST for 741s
Not shown: 995 filtered tcp ports (no-response)
PORT     STATE SERVICE    REASON
53/tcp   open  domain     syn-ack ttl 64
80/tcp   open  http       syn-ack ttl 64
443/tcp  open  https      syn-ack ttl 64
5060/tcp open  sip        syn-ack ttl 64
8080/tcp open  http-proxy syn-ack ttl 64

Nmap scan report for cert-int.catalyst.clover.com (107.162.232.26)
Host is up, received user-set (0.10s latency).
Scanned at 2025-02-26 10:24:06 EST for 768s
Not shown: 995 filtered tcp ports (no-response)
PORT     STATE SERVICE    REASON
53/tcp   open  domain     syn-ack ttl 64
80/tcp   open  http       syn-ack ttl 64
443/tcp  open  https      syn-ack ttl 64
5060/tcp open  sip        syn-ack ttl 64
8080/tcp open  http-proxy syn-ack ttl 64

Nmap scan report for api.ap.clover.com (34.116.0.32)
Host is up, received user-set (0.10s latency).
rDNS record for 34.116.0.32: 32.0.116.34.bc.googleusercontent.com
Scanned at 2025-02-26 10:24:06 EST for 773s
Not shown: 995 filtered tcp ports (no-response)
PORT     STATE SERVICE    REASON
53/tcp   open  domain     syn-ack ttl 64
80/tcp   open  http       syn-ack ttl 64
443/tcp  open  https      syn-ack ttl 64
5060/tcp open  sip        syn-ack ttl 64
8080/tcp open  http-proxy syn-ack ttl 64

Nmap scan report for dev-alt-int.catalyst.clover.com (167.86.43.71)
Host is up, received user-set (0.12s latency).
Scanned at 2025-02-26 10:24:07 EST for 1609s
Not shown: 988 closed tcp ports (reset)
PORT     STATE    SERVICE    REASON
20/tcp   filtered ftp-data   no-response
21/tcp   filtered ftp        no-response
22/tcp   filtered ssh        no-response
25/tcp   filtered smtp       port-unreach from 10.5.0.1 ttl 64
53/tcp   open     domain     syn-ack ttl 64
80/tcp   open     http       syn-ack ttl 64
161/tcp  filtered snmp       no-response
179/tcp  filtered bgp        no-response
443/tcp  open     https      syn-ack ttl 64
5060/tcp open     sip        syn-ack ttl 64
8080/tcp open     http-proxy syn-ack ttl 64
8652/tcp filtered unknown    no-response

Nmap scan report for dev-self-serve-ui.catalyst.clover.com (167.86.43.43)
Host is up, received user-set (0.12s latency).
Scanned at 2025-02-26 10:24:07 EST for 1582s
Not shown: 987 closed tcp ports (reset)
PORT      STATE    SERVICE    REASON
20/tcp    filtered ftp-data   no-response
21/tcp    filtered ftp        no-response
22/tcp    filtered ssh        no-response
23/tcp    filtered telnet     no-response
25/tcp    filtered smtp       port-unreach from 10.5.0.1 ttl 64
53/tcp    open     domain     syn-ack ttl 64
80/tcp    open     http       syn-ack ttl 64
161/tcp   filtered snmp       no-response
179/tcp   filtered bgp        no-response
443/tcp   open     https      syn-ack ttl 64
5060/tcp  open     sip        syn-ack ttl 64
8080/tcp  open     http-proxy syn-ack ttl 64
32783/tcp filtered unknown    no-response

Nmap scan report for c.staging.clover.com (34.98.98.115)
Host is up, received user-set (0.10s latency).
rDNS record for 34.98.98.115: 115.98.98.34.bc.googleusercontent.com
Scanned at 2025-02-26 10:24:07 EST for 752s
Not shown: 995 filtered tcp ports (no-response)
PORT     STATE SERVICE    REASON
53/tcp   open  domain     syn-ack ttl 64
80/tcp   open  http       syn-ack ttl 64
443/tcp  open  https      syn-ack ttl 64
5060/tcp open  sip        syn-ack ttl 64
8080/tcp open  http-proxy syn-ack ttl 64

Nmap scan report for eu.clover.com (166.73.5.57)
Host is up, received user-set (0.10s latency).
Scanned at 2025-02-26 10:24:07 EST for 765s
Not shown: 994 filtered tcp ports (no-response), 1 filtered tcp ports (port-unreach)
PORT     STATE SERVICE    REASON
53/tcp   open  domain     syn-ack ttl 64
80/tcp   open  http       syn-ack ttl 64
443/tcp  open  https      syn-ack ttl 64
5060/tcp open  sip        syn-ack ttl 64
8080/tcp open  http-proxy syn-ack ttl 64

Nmap scan report for dev-int.catalyst.clover.com (107.162.180.200)
Host is up, received user-set (0.10s latency).
Scanned at 2025-02-26 10:24:07 EST for 726s
Not shown: 995 filtered tcp ports (no-response)
PORT     STATE SERVICE    REASON
53/tcp   open  domain     syn-ack ttl 64
80/tcp   open  http       syn-ack ttl 64
443/tcp  open  https      syn-ack ttl 64
5060/tcp open  sip        syn-ack ttl 64
8080/tcp open  http-proxy syn-ack ttl 64

Nmap scan report for blog.clover.com (23.185.0.4)
Host is up, received user-set (0.10s latency).
Other addresses for blog.clover.com (not scanned): 2620:12a:8000::4 2620:12a:8001::4
Scanned at 2025-02-26 10:24:07 EST for 756s
Not shown: 995 filtered tcp ports (no-response)
PORT     STATE SERVICE    REASON
53/tcp   open  domain     syn-ack ttl 64
80/tcp   open  http       syn-ack ttl 64
443/tcp  open  https      syn-ack ttl 64
5060/tcp open  sip        syn-ack ttl 64
8080/tcp open  http-proxy syn-ack ttl 64

Nmap scan report for au.clover.com (66.6.29.162)
Host is up, received user-set (0.13s latency).
Scanned at 2025-02-26 10:24:07 EST for 1605s
Not shown: 983 closed tcp ports (reset)
PORT     STATE    SERVICE        REASON
20/tcp   filtered ftp-data       no-response
21/tcp   filtered ftp            no-response
22/tcp   filtered ssh            no-response
25/tcp   filtered smtp           port-unreach from 10.5.0.1 ttl 64
53/tcp   open     domain         syn-ack ttl 64
80/tcp   open     http           syn-ack ttl 64
161/tcp  filtered snmp           no-response
179/tcp  filtered bgp            no-response
443/tcp  open     https          syn-ack ttl 64
1010/tcp filtered surf           no-response
4279/tcp filtered vrml-multi-use no-response
4343/tcp filtered unicall        no-response
5060/tcp open     sip            syn-ack ttl 64
5414/tcp filtered statusd        no-response
6002/tcp filtered X11:2          no-response
8080/tcp open     http-proxy     syn-ack ttl 64
8099/tcp filtered unknown        no-response

Nmap scan report for files.clover.com (166.73.4.197)
Host is up, received user-set (0.10s latency).
Scanned at 2025-02-26 10:24:07 EST for 710s
Not shown: 995 filtered tcp ports (no-response)
PORT     STATE SERVICE    REASON
53/tcp   open  domain     syn-ack ttl 64
80/tcp   open  http       syn-ack ttl 64
443/tcp  open  https      syn-ack ttl 64
5060/tcp open  sip        syn-ack ttl 64
8080/tcp open  http-proxy syn-ack ttl 64

Nmap scan report for community.clover.com (100.20.128.48)
Host is up, received user-set (0.10s latency).
Other addresses for community.clover.com (not scanned): 52.33.224.242 44.224.74.30
rDNS record for 100.20.128.48: ec2-100-20-128-48.us-west-2.compute.amazonaws.com
Scanned at 2025-02-26 10:24:07 EST for 574s
Not shown: 994 filtered tcp ports (no-response), 1 filtered tcp ports (port-unreach)
PORT     STATE SERVICE    REASON
53/tcp   open  domain     syn-ack ttl 64
80/tcp   open  http       syn-ack ttl 64
443/tcp  open  https      syn-ack ttl 64
5060/tcp open  sip        syn-ack ttl 64
8080/tcp open  http-proxy syn-ack ttl 64

Nmap scan report for google.clover.com (142.251.41.51)
Host is up, received user-set (0.10s latency).
Other addresses for google.clover.com (not scanned): 2607:f8b0:400b:804::2013
rDNS record for 142.251.41.51: yyz12s08-in-f19.1e100.net
Scanned at 2025-02-26 10:24:07 EST for 678s
Not shown: 995 filtered tcp ports (no-response)
PORT     STATE SERVICE    REASON
53/tcp   open  domain     syn-ack ttl 64
80/tcp   open  http       syn-ack ttl 64
443/tcp  open  https      syn-ack ttl 64
5060/tcp open  sip        syn-ack ttl 64
8080/tcp open  http-proxy syn-ack ttl 64

Nmap scan report for docs.clover.com (104.16.242.118)
Host is up, received user-set (0.10s latency).
Other addresses for docs.clover.com (not scanned): 104.16.241.118 2606:4700::6810:f176 2606:4700::6810:f276
Scanned at 2025-02-26 10:24:07 EST for 646s
Not shown: 995 filtered tcp ports (no-response)
PORT     STATE SERVICE    REASON
53/tcp   open  domain     syn-ack ttl 64
80/tcp   open  http       syn-ack ttl 64
443/tcp  open  https      syn-ack ttl 64
5060/tcp open  sip        syn-ack ttl 64
8080/tcp open  http-proxy syn-ack ttl 64

Nmap scan report for help.clover.com (13.56.104.203)
Host is up, received user-set (0.10s latency).
rDNS record for 13.56.104.203: ec2-13-56-104-203.us-west-1.compute.amazonaws.com
Scanned at 2025-02-26 10:24:07 EST for 735s
Not shown: 994 filtered tcp ports (no-response), 1 filtered tcp ports (port-unreach)
PORT     STATE SERVICE    REASON
53/tcp   open  domain     syn-ack ttl 64
80/tcp   open  http       syn-ack ttl 64
443/tcp  open  https      syn-ack ttl 64
5060/tcp open  sip        syn-ack ttl 64
8080/tcp open  http-proxy syn-ack ttl 64

Nmap scan report for feedback.clover.com (54.158.149.68)
Host is up, received user-set (0.10s latency).
Other addresses for feedback.clover.com (not scanned): 52.7.186.153
rDNS record for 54.158.149.68: ec2-54-158-149-68.compute-1.amazonaws.com
Scanned at 2025-02-26 10:24:07 EST for 652s
Not shown: 995 filtered tcp ports (no-response)
PORT     STATE SERVICE    REASON
53/tcp   open  domain     syn-ack ttl 64
80/tcp   open  http       syn-ack ttl 64
443/tcp  open  https      syn-ack ttl 64
5060/tcp open  sip        syn-ack ttl 64
8080/tcp open  http-proxy syn-ack ttl 64

Nmap scan report for la.clover.com (166.73.5.41)
Host is up, received user-set (0.10s latency).
Scanned at 2025-02-26 10:24:07 EST for 668s
Not shown: 994 filtered tcp ports (no-response), 1 filtered tcp ports (port-unreach)
PORT     STATE SERVICE    REASON
53/tcp   open  domain     syn-ack ttl 64
80/tcp   open  http       syn-ack ttl 64
443/tcp  open  https      syn-ack ttl 64
5060/tcp open  sip        syn-ack ttl 64
8080/tcp open  http-proxy syn-ack ttl 64

Nmap scan report for deals.clover.com (34.208.110.218)
Host is up, received user-set (0.10s latency).
Other addresses for deals.clover.com (not scanned): 54.69.139.218 52.32.64.133
rDNS record for 34.208.110.218: ec2-34-208-110-218.us-west-2.compute.amazonaws.com
Scanned at 2025-02-26 10:24:07 EST for 747s
Not shown: 995 filtered tcp ports (no-response)
PORT     STATE SERVICE    REASON
53/tcp   open  domain     syn-ack ttl 64
80/tcp   open  http       syn-ack ttl 64
443/tcp  open  https      syn-ack ttl 64
5060/tcp open  sip        syn-ack ttl 64
8080/tcp open  http-proxy syn-ack ttl 64

Nmap scan report for feedback.stg1.dev.clover.com (52.20.49.116)
Host is up, received user-set (0.10s latency).
Other addresses for feedback.stg1.dev.clover.com (not scanned): 34.195.212.27
rDNS record for 52.20.49.116: ec2-52-20-49-116.compute-1.amazonaws.com
Scanned at 2025-02-26 10:24:07 EST for 762s
Not shown: 995 filtered tcp ports (no-response)
PORT     STATE SERVICE    REASON
53/tcp   open  domain     syn-ack ttl 64
80/tcp   open  http       syn-ack ttl 64
443/tcp  open  https      syn-ack ttl 64
5060/tcp open  sip        syn-ack ttl 64
8080/tcp open  http-proxy syn-ack ttl 64

Nmap scan report for help.dev.clover.com (34.36.255.254)
Host is up, received user-set (0.10s latency).
rDNS record for 34.36.255.254: 254.255.36.34.bc.googleusercontent.com
Scanned at 2025-02-26 10:24:07 EST for 767s
Not shown: 995 filtered tcp ports (no-response)
PORT     STATE SERVICE    REASON
53/tcp   open  domain     syn-ack ttl 64
80/tcp   open  http       syn-ack ttl 64
443/tcp  open  https      syn-ack ttl 64
5060/tcp open  sip        syn-ack ttl 64
8080/tcp open  http-proxy syn-ack ttl 64

Nmap scan report for link.clover.com (34.117.18.56)
Host is up, received user-set (0.10s latency).
rDNS record for 34.117.18.56: 56.18.117.34.bc.googleusercontent.com
Scanned at 2025-02-26 10:24:07 EST for 765s
Not shown: 995 filtered tcp ports (no-response)
PORT     STATE SERVICE    REASON
53/tcp   open  domain     syn-ack ttl 64
80/tcp   open  http       syn-ack ttl 64
443/tcp  open  https      syn-ack ttl 64
5060/tcp open  sip        syn-ack ttl 64
8080/tcp open  http-proxy syn-ack ttl 64

Nmap scan report for dev-api-invoca.catalyst.clover.com (66.22.80.117)
Host is up, received user-set (0.13s latency).
Scanned at 2025-02-26 10:24:07 EST for 1595s
Not shown: 982 closed tcp ports (reset)
PORT      STATE    SERVICE          REASON
20/tcp    filtered ftp-data         no-response
21/tcp    filtered ftp              no-response
22/tcp    filtered ssh              no-response
25/tcp    filtered smtp             port-unreach from 10.5.0.1 ttl 64
53/tcp    open     domain           syn-ack ttl 64
80/tcp    open     http             syn-ack ttl 64
161/tcp   filtered snmp             no-response
179/tcp   filtered bgp              no-response
406/tcp   filtered imsp             no-response
443/tcp   open     https            syn-ack ttl 64
666/tcp   filtered doom             no-response
1067/tcp  filtered instl_boots      no-response
3269/tcp  filtered globalcatLDAPssl no-response
5060/tcp  open     sip              syn-ack ttl 64
5988/tcp  filtered wbem-http        no-response
6788/tcp  filtered smc-http         no-response
8080/tcp  open     http-proxy       syn-ack ttl 64
55056/tcp filtered unknown          no-response

Nmap scan report for api-accounts.prod.catalyst.clover.com (35.167.212.29)
Host is up, received user-set (0.10s latency).
Other addresses for api-accounts.prod.catalyst.clover.com (not scanned): 35.84.58.221 54.148.50.105
rDNS record for 35.167.212.29: ec2-35-167-212-29.us-west-2.compute.amazonaws.com
Scanned at 2025-02-26 10:24:06 EST for 772s
Not shown: 995 filtered tcp ports (no-response)
PORT     STATE SERVICE    REASON
53/tcp   open  domain     syn-ack ttl 64
80/tcp   open  http       syn-ack ttl 64
443/tcp  open  https      syn-ack ttl 64
5060/tcp open  sip        syn-ack ttl 64
8080/tcp open  http-proxy syn-ack ttl 64

